Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
104,20641,1277,1627,1,22.65,0.84,22.56,0.33,0.09,22.64,0.31,0.68,3.888,0.0032,1.067,0.013,0,0,1,0
105,20648,1269,1246,1,22.05,0.77,21.8,0.36,0.46,23.38,0.5,0.06,3.9649,0.0061,1.541,0.017,1,0,1,1
106,20661,1265,1171,1,21.47,0.97,21.29,0.37,7.2,21.08,0.38,0,3.8,0.0027,0.681,0.015,1,1,1,1
107,20679,1269,829,1,20.79,1.83,22.87,0.67,1.71,20.85,0.44,1.07,3.7003,0.0025,-0.298,0.026,1,1,2,1
108,20686,1273,138,1,23.08,1.22,22.13,0.51,1.07,21.75,0.38,0.03,3.7545,0.1736,0.034,0.139,1,1,1,1
109,20711,1816,1893,1,21.07,0.8,21.69,0.34,1.43,22.13,0.31,0.63,3.8768,0.0029,1.491,0.014,1,0,1,0
110,20712,1277,808,1,21.54,0.97,20.94,0.39,10.46,21.12,0.34,5.18,3.7866,0.0033,0.339,0.016,0,1,0,0
111,20713,1265,1176,1,20.86,0.84,23.16,0.33,30.3,22.48,0.35,0.7,3.8798,0.0033,1.356,0.012,1,1,0,0
112,20719,1265,59,1,21.76,1.46,20.41,0.43,35.22,21.34,0.44,3.64,3.7616,0.0025,0.109,0.018,1,1,0,0
113,20741,1265,241,1,21.42,1.54,22.18,0.46,0.41,21.56,0.4,0.37,3.7585,0.0025,0.016,0.018,0,0,0,0
114,20745,676,389,1,28.27,3.17,25.13,0.99,1.19,25.22,0.68,0.04,3.5906,0.0037,-0.627,0.036,0,0,2,1
115,20751,672,425,1,23.03,1.66,23.01,0.55,10.44,22.33,0.5,0.13,3.6829,0.0022,-0.452,0.021,1,1,0,0
116,20762,680,639,1,21.83,2.29,21.31,0.61,0.78,21.61,0.53,0.23,3.6638,0.002,-0.742,0.026,0,0,0,0
117,20815,1265,1048,1,21.83,1.01,21.21,0.38,1.05,21.27,0.48,0,3.7923,0.004,0.303,0.016,0,0,0,0
118,20826,676,62,1,21.18,1.04,22.34,0.42,1.5,22.44,0.45,0.1,3.7858,0.0026,0.232,0.016,0,0,0,0
119,20827,680,104,1,17.29,2.23,20.52,0.55,2.72,20.8,0.48,0.1,3.7014,0.0026,-0.402,0.024,0,0,0,0
120,20842,1277,1628,1,20.85,0.86,20.24,0.35,0.55,20.39,0.32,1.23,3.8821,0.0051,0.982,0.015,0,0,1,0
121,20850,680,423,1,21.29,1.91,21.61,0.48,0.61,21.25,0.45,1.22,3.7189,0.0026,-0.285,0.02,0,0,0,0
122,20873,681,1152,1,18.42,1.93,22.06,0.62,3.87,21.46,0.37,1.92,3.8536,0.0045,0.841,0.024,0,0,0,5
123,20885,1265,1170,1,20.66,0.85,21.29,0.37,48.26,21.93,0.35,1.24,,,,,1,1,1,0
124,20889,1273,1104,1,21.04,0.82,21.93,0.36,1.38,21.83,0.28,0.19,,,,,1,0,1,0
125,20890,1273,711,1,20.09,1.11,20.92,0.45,4.24,20.54,0.4,5.97,3.7401,0.0035,-0.122,0.019,0,1,0,0
126,20894,1265,1172,1,21.89,0.83,22.24,0.36,0.26,22.35,0.36,0.22,,,,,1,1,1,0
127,20899,1269,22,1,21.09,1.08,21.62,0.4,0.28,22.47,0.4,1.68,3.7726,0.0025,0.134,0.016,0,0,0,0
