# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   3.162e+08 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    8.50    3.2069916725    3.2070  2.7781  3.6322  1.6408  -2.175  1.185   -0.194  -1.533  -2.231  -2.815  -3.695  -4.394  -4.495  0.4787  0.0000  6.3 1   -13.487 3.3075699806
    8.50    3.2084438801    3.2084  2.7329  3.6356  1.6999  -2.062  1.204   -0.128  -1.447  -2.135  -2.708  -3.574  -4.261  -4.359  0.4787  0.0000  5.7 1   -13.486 3.3075947762
    8.50    3.2098681927    3.2099  2.6879  3.6392  1.7593  -1.950  1.222   -0.064  -1.363  -2.039  -2.603  -3.454  -4.128  -4.223  0.4787  0.0000  5.1 1   -13.486 3.3076188564
    8.50    3.2112913132    3.2113  2.6334  3.6431  1.8298  -1.813  1.251   0.018   -1.258  -1.922  -2.474  -3.308  -3.969  -4.061  0.4787  0.0000  4.6 1   -13.486 3.3076431751
    8.50    3.2124781609    3.2125  2.5781  3.6477  1.9033  -1.675  1.271   0.095   -1.157  -1.806  -2.345  -3.159  -3.804  -3.893  0.4787  0.0000  4.0 1   -13.486 3.3076632023
    8.50    3.2136373520    3.2136  2.5190  3.6521  1.9804  -1.528  1.306   0.186   -1.041  -1.677  -2.205  -3.000  -3.630  -3.716  0.4787  0.0000  3.5 1   -13.486 3.3076827526
    8.50    3.2146413326    3.2146  2.4662  3.6561  2.0494  -1.395  1.346   0.271   -0.933  -1.558  -2.077  -2.857  -3.474  -3.557  0.4787  0.0000  3.1 1   -13.486 3.3076999187
    8.50    3.2157456875    3.2157  2.4093  3.6606  2.1246  -1.253  1.385   0.361   -0.818  -1.432  -1.941  -2.701  -3.305  -3.385  0.4787  0.0000  2.7 1   -13.485 3.3077185154
    8.50    3.2169802189    3.2170  2.3517  3.6651  2.2004  -1.109  1.428   0.453   -0.702  -1.303  -1.802  -2.545  -3.134  -3.211  0.4787  0.0000  2.4 1   -13.485 3.3077392578
    8.50    3.2186794281    3.2187  2.2853  3.6705  2.2885  -0.943  1.476   0.558   -0.570  -1.156  -1.642  -2.364  -2.935  -3.009  0.4787  0.0000  2.1 1   -13.485 3.3077681065
    8.50    3.2209765911    3.2210  2.2194  3.6762  2.3773  -0.779  1.520   0.660   -0.439  -1.009  -1.483  -2.183  -2.736  -2.806  0.4787  0.0000  1.8 1   -13.485 3.3078067303
    8.50    3.2251083851    3.2251  2.1513  3.6831  2.4737  -0.608  1.549   0.759   -0.302  -0.855  -1.316  -1.990  -2.523  -2.589  0.4787  0.0000  1.5 1   -13.484 3.3078761101
    8.50    3.2351174355    3.2351  2.1056  3.6922  2.5572  -0.494  1.490   0.783   -0.231  -0.762  -1.205  -1.845  -2.351  -2.413  0.4787  0.0000  1.3 1   -13.483 3.3080432415
    8.50    3.3316993713    3.3317  2.2240  3.6939  2.4583  -0.790  1.177   0.474   -0.537  -1.064  -1.503  -2.137  -2.636  -2.697  0.4787  0.0000  1.6 1   -13.470 3.3095860481
    8.50    3.3442416191    3.3442  2.2412  3.6943  2.4442  -0.833  1.130   0.428   -0.581  -1.108  -1.546  -2.179  -2.677  -2.738  0.4787  0.0000  1.6 1   -13.468 3.3097774982
    8.50    3.4171886444    3.4172  2.3161  3.6867  2.3484  -1.020  1.094   0.317   -0.733  -1.277  -1.731  -2.391  -2.911  -2.976  0.4787  0.0000  1.9 1   -13.459 3.3108539581
    8.50    3.4506649971    3.4507  2.3756  3.6770  2.2541  -1.169  1.138   0.267   -0.835  -1.404  -1.876  -2.572  -3.121  -3.191  0.4787  0.0000  2.2 1   -13.455 3.3113274574
    8.50    3.4555249214    3.4555  2.4206  3.6705  2.1838  -1.282  1.159   0.225   -0.910  -1.496  -1.982  -2.704  -3.273  -3.347  0.4787  0.0000  2.5 1   -13.454 3.3113951683
    8.50    3.4562613964    3.4563  2.4597  3.6661  2.1275  -1.379  1.155   0.176   -0.980  -1.578  -2.074  -2.813  -3.397  -3.474  0.4787  0.0000  2.8 1   -13.454 3.3114051819
    8.50    3.4564757347    3.4565  2.4993  3.6626  2.0739  -1.478  1.133   0.117   -1.057  -1.665  -2.169  -2.922  -3.517  -3.596  0.4787  0.0000  3.0 1   -13.454 3.3114082813
    8.50    3.4566082954    3.4566  2.5487  3.6580  2.0061  -1.602  1.112   0.047   -1.152  -1.773  -2.287  -3.058  -3.668  -3.750  0.4787  0.0000  3.4 1   -13.454 3.3114101887
    8.50    3.4567213058    3.4567  2.5932  3.6540  1.9453  -1.713  1.095   -0.017  -1.238  -1.869  -2.393  -3.181  -3.804  -3.889  0.4787  0.0000  3.8 1   -13.454 3.3114116192
    8.50    3.4568927288    3.4569  2.6407  3.6496  1.8806  -1.832  1.078   -0.085  -1.330  -1.973  -2.506  -3.312  -3.949  -4.036  0.4787  0.0000  4.2 1   -13.454 3.3114140034
    8.50    3.4577655792    3.4578  2.6545  3.6487  1.8630  -1.866  1.069   -0.106  -1.357  -2.003  -2.538  -3.349  -3.989  -4.077  0.4787  0.0000  4.4 1   -13.454 3.3114261627
    8.50    3.4607474804    3.4607  2.7709  3.6398  1.7114  -2.157  1.015   -0.276  -1.577  -2.251  -2.812  -3.660  -4.332  -4.427  0.4787  0.0000  5.7 1   -13.454 3.3114674091
    8.50    3.4617993832    3.4618  2.8496  3.6337  1.6085  -2.354  0.984   -0.389  -1.725  -2.418  -2.996  -3.871  -4.563  -4.663  0.4787  0.0000  6.8 1   -13.453 3.3114819527
    8.50    3.4628627300    3.4629  2.9359  3.6266  1.4940  -2.570  0.964   -0.508  -1.884  -2.600  -3.198  -4.103  -4.820  -4.926  0.4787  0.0000  8.3 1   -13.453 3.3114967346
    8.50    3.4635736942    3.4636  3.0008  3.6215  1.4086  -2.732  0.959   -0.588  -1.996  -2.731  -3.348  -4.277  -5.011  -5.121  0.4787  0.0000  9.6 1   -13.453 3.3115065098
