RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5 10 19.42 -71 37 14.7 0.06   3.43 15.80 15.29 14.95 14.67 # Evs HV12765 
5 10 23.53 -69 10 10.0 0.04   1.96 16.77 16.23 15.86 15.54 # Ogle 31368  
5 10 34.22 -69 13 43.0 0.09   3.07 16.83 16.20 15.78 15.47 # Ogle 27261  
5 10 35.86 -69  8 17.1 0.04  13.91 15.23 14.30 13.90 13.48 # Ogle 35590  
5 10 37.15 -69 15  6.0 0.17   2.85 17.73 16.96 16.42 16.00 # Ogle 100658 
5 10 42.35 -68 48 18.4 0.13   1.74 18.13 17.61 17.30 16.94 # Ogle 132771 
5 10 43.61 -70 28 51.5 0.04   4.83 15.86 15.26 14.94 14.64 # Evs HV2365  
5 10 44.98 -69  6 27.3 0.04   1.41 17.56 17.03 16.62 16.35 # Ogle 109937 
5 10 53.12 -68 50 23.6 0.13   1.58 16.61 16.17 16.21 15.67 # Ogle 132645 
5 10 56.06 -69  1 54.7 0.06  15.13 15.07 14.18 13.63 13.25 # Ogle 119173 
5 11  3.79 -69 17 56.9 0.17   1.97 16.67 16.11 15.73 15.47 # Ogle 95827  
5 11  5.41 -70 30 34.5 0.03  14.21 15.46 14.52 14.06 13.57 # Evs HV5655  
5 11  5.89 -69  6 18.8 0.05   5.39 16.94 16.13 15.58 15.12 # Ogle 109838 
5 11 10.46 -69 18 36.2 0.17   2.48 16.22 15.68 15.28 15.03 # Ogle 95782  
5 11 11.09 -69 12 29.3 0.07   3.13 16.56 16.01 15.62 15.34 # Ogle 105186 
5 11 20.96 -69  1 19.1 0.07   1.49 17.07 16.54 16.17 15.86 # Ogle 190380 
5 11 30.87 -70 19 58.2 0.20   2.53 17.05 16.26 16.04 15.69 # Eros 3013   
5 11 34.97 -69 14 59.2 0.11   1.12 17.32 16.81 16.51 16.24 # Ogle 172729 
5 11 53.03 -69  6 48.2 0.09   8.77 15.11 14.54 14.15 13.81 # Ogle 181906 
5 11 56.33 -69 12 11.5 0.07   2.01 15.87 15.77 15.28 15.17 # Ogle 250332 
5 11 58.80 -69  3 26.0 0.07   5.07 15.22 14.65 14.26 13.98 # Ogle 259946 
5 12  2.81 -68 57  9.5 0.13   1.91 16.58 15.97 15.64 15.31 # Ogle 269402 
5 12  6.32 -69 13  6.1 0.07   3.97 15.84 15.50 15.10 14.86 # Ogle 245266 
